id,first_name,last_name,bats,throws,weight,height,debut,final_game,birth_year,birth_month,birth_day,birth_city,birth_state,birth_country
92,Dick,Higham,L,R,171,68,1871-06-01,1880-05-25,1851,7,24,Ipswich,Suffolk,"United Kingdom"
93,Dickie,Flowers,,,,,1871-06-03,1872-06-12,1850,,,Philadelphia,PA,USA
94,Fergy,Malone,R,L,156,68,1871-06-03,1884-04-17,1844,8,,,Tyrone,Ireland
95,Charles,Fulmer,R,R,158,72,1871-06-05,1884-08-16,1851,2,13,Philadelphia,PA,USA
96,Warren,White,,,170,70,1871-06-17,1884-06-27,1844,,,Milton,NY,USA
97,Charles,Bierman,,,180,72,1871-06-21,1871-06-21,1845,,,Hoboken,NJ,USA
98,Bill,Stearns,,R,,,1871-06-26,1875-06-12,1853,3,20,Washington,DC,USA
99,George,Ewell,,,160,72,1871-06-26,1871-06-26,1850,10,29,Philadelphia,PA,USA
100,Robert,Armstrong,,,160,74,1871-06-26,1871-08-29,1850,7,4,Baltimore,MD,USA
101,Nealy,Phelps,,,,,1871-07-01,1876-08-10,1840,11,19,"New York",NY,USA
102,Bill,Barrett,,,,,1871-07-08,1873-10-18,,,,Baltimore,MD,USA
103,Harry,Deane,,,150,67,1871-07-12,1874-10-14,1846,5,6,Trenton,NJ,USA
104,Henry,Kohler,,,,,1871-07-12,1874-09-09,1852,5,5,Baltimore,MD,USA
105,Jimmy,Hallinan,L,L,172,69,1871-07-26,1878-08-22,1849,5,27,,,Ireland
106,Paddy,Quinn,,,148,68,1871-07-26,1877-06-21,1849,8,,Chicago,IL,USA
107,Tommy,Beals,R,,144,65,1871-07-27,1880-09-29,1850,8,,"New York",NY,USA
108,Joe,Battin,R,R,169,70,1871-08-11,1890-05-28,1853,11,11,"West Bradford",PA,USA
109,Joe,Quest,R,R,150,66,1871-08-30,1886-07-13,1852,11,16,"New Castle",PA,USA
110,Tom,Berry,,,140,66,1871-09-02,1871-09-02,1842,12,31,Chester,PA,USA
111,Frank,Fleet,,,,,1871-10-18,1875-10-09,1848,,,"New York",NY,USA
112,Tom,Pratt,,R,150,67,1871-10-18,1871-10-18,1844,1,26,Chelsea,MA,USA
113,Frank,Abercrombie,,,,,1871-10-21,1871-10-21,1850,1,2,"Fort Towson",OK,USA
114,Mike,Brannock,,,162,68,1871-10-21,1875-08-28,1851,10,25,Douglas,MA,USA
115,Nate,Berkenstock,,,,,1871-10-30,1871-10-30,1832,9,17,Philadelphia,PA,USA
116,Bob,Reach,,,155,65,1872-04-18,1873-10-23,1843,8,28,Brooklyn,NY,USA
117,Dick,Hurley,L,,160,67,1872-04-18,1872-04-23,1847,,,Honesdale,PA,USA
118,Bill,Yeatman,,,,,1872-04-20,1872-04-20,1838,3,10,Alexandria,VA,USA
119,Holly,Hollingshead,,,,,1872-04-20,1875-06-09,1853,1,17,Washington,DC,USA
120,Jacob,Doyle,,,,,1872-04-20,1872-05-25,1855,11,26,Leesburg,VA,USA
121,Paul,Hines,R,R,173,69,1872-04-20,1891-07-03,1855,3,1,,VA,USA
122,Sy,Studley,,,180,67,1872-04-20,1872-05-08,1841,5,,Byron,NY,USA
123,Bill,Boyd,,,250,,1872-04-22,1875-10-09,1852,12,22,"New York",NY,USA
124,Candy,Cummings,R,R,120,69,1872-04-22,1877-08-18,1848,10,18,Ware,MA,USA
125,Nat,Hicks,R,R,186,73,1872-04-22,1877-06-05,1845,4,19,Hempstead,NY,USA
126,Oscar,Bielaski,R,R,170,70,1872-04-24,1876-08-21,1847,3,21,Washington,DC,USA
127,Billy,Arnold,,,,,1872-04-26,1872-05-02,1851,3,2,Middletown,CT,USA
128,Cy,Bentley,,,,,1872-04-26,1872-08-09,1850,11,23,"East Haven",CT,USA
129,Eddie,Booth,,,,,1872-04-26,1876-10-17,,,,Brooklyn,NY,USA
130,Frank,Buttery,,,,,1872-04-26,1872-07-27,1851,5,13,Silvermine,CT,USA
131,Frank,McCarton,,,,,1872-04-26,1872-08-05,1854,10,6,"New York",NY,USA
132,Jim,"O'Rourke",R,R,185,68,1872-04-26,1904-09-22,1850,9,1,Bridgeport,CT,USA
133,Jim,Tipper,,,148,65,1872-04-26,1875-10-28,1849,6,18,Middletown,CT,USA
134,John,Clapp,R,R,194,67,1872-04-26,1883-09-28,1851,7,15,Ithaca,NY,USA
135,Phonney,Martin,,,148,67,1872-04-26,1873-10-21,1845,8,4,"New York",NY,USA
136,Tim,Murnane,L,R,172,69,1872-04-26,1884-10-19,1851,6,4,Naugatuck,CT,USA
137,Count,Gedney,,,140,69,1872-04-27,1875-10-29,1849,5,6,"New York",NY,USA
138,Dennis,Coughlin,,,,,1872-04-27,1872-06-26,1844,1,,,NY,USA
139,Ham,Allen,,,,64,1872-04-27,1872-08-09,1846,4,20,Augusta,ME,USA
140,Fraley,Rogers,,,184,68,1872-04-30,1873-07-16,1850,,,Brooklyn,NY,USA
141,Val,Robinson,,,,,1872-05-01,1872-05-24,1848,8,31,Washington,DC,USA
142,George,Fields,,,179,65,1872-05-02,1872-08-09,1852,7,26,Waterbury,CT,USA
143,Herman,Dehlman,,,,,1872-05-02,1877-09-08,1852,,,Brooklyn,NY,USA
144,Jack,Burdock,R,R,158,69,1872-05-02,1891-07-23,1852,4,,Brooklyn,NY,USA
145,Jack,McDonald,,,172,71,1872-05-02,1872-08-14,1844,,,Brooklyn,NY,USA
146,Jack,Remsen,R,R,189,71,1872-05-02,1884-10-15,1850,4,,Brooklyn,NY,USA
147,Jim,Britt,,,,66,1872-05-02,1873-11-01,,,,,,
148,John,Kenney,,,,,1872-05-02,1872-05-20,1844,,,Brooklyn,NY,USA
149,Tom,Barlow,,,,,1872-05-02,1875-07-30,1852,,,,NY,USA
150,Al,Martin,,,,,1872-05-07,1875-09-25,1847,9,26,"Van Vorst",NJ,USA
151,Andy,Allison,,,150,70,1872-05-07,1872-10-21,1848,,,"New York",NY,USA
152,David,Lenz,,,,,1872-05-07,1872-05-21,1851,1,1,,,Germany
153,Dick,Hunt,,,145,69,1872-05-07,1872-07-09,1847,,,,NY,USA
154,Jim,Snyder,,,130,67,1872-05-07,1872-10-05,1847,9,15,Brooklyn,NY,USA
155,John,Galvin,,,178,67,1872-05-07,1872-05-07,1842,8,,,NY,USA
156,Marty,Swandell,L,L,146,70,1872-05-07,1873-08-07,1841,7,,,Baden-Wurttemburg,Germany
157,Jim,Holdsworth,R,R,195,72,1872-05-14,1884-06-09,1850,7,14,"New York",NY,USA
158,Jim,Clinton,R,R,174,68,1872-05-18,1886-07-15,1850,8,10,"New York",NY,USA
159,Josh,Snyder,,,,,1872-05-18,1872-07-09,1844,3,,Brooklyn,NY,USA
160,Jim,Hall,,,,,1872-05-20,1874-05-15,,,,,,
161,Bill,Allison,,,,,1872-05-21,1872-07-04,1850,7,16,"New York",NY,USA
162,,Spencer,,,,,1872-06-03,1872-06-03,,,,,,
163,Candy,Nelson,L,R,145,66,1872-06-11,1890-08-25,1849,3,14,Portland,ME,USA
164,Al,Thake,,,,72,1872-06-13,1872-08-28,1849,9,21,Wymondham,Norfolk,"United Kingdom"
165,Martin,Malone,,,,,1872-06-20,1872-09-13,,,,,,
166,William,Bestick,,,,,1872-06-20,1872-07-09,,,,"New York",NY,USA
167,George,Fletcher,,,,,1872-06-21,1872-06-22,1845,4,21,Brooklyn,NY,USA
168,Joe,Miller,,,169,70,1872-06-26,1875-07-28,1850,7,24,,,Germany
169,Nat,Jewett,,,137,69,1872-07-04,1872-07-06,1844,12,25,"New York",NY,USA
170,,"O'Rourke",,,,,1872-07-09,1872-07-09,,,,,,
171,Herb,Worth,,,,,1872-07-29,1872-07-29,1847,5,2,,,
172,Oliver,Brown,R,R,160,72,1872-08-01,1875-08-26,1849,5,3,Brooklyn,NY,USA
173,Martin,Mullen,,,,,1872-08-17,1872-08-17,1852,8,22,Cleveland,OH,USA
174,Herm,Doscher,R,R,182,70,1872-09-05,1882-08-04,1852,12,20,"New York",NY,USA
175,James,Cavanagh,,,,,1872-09-11,1872-09-19,1850,,,,,"United Kingdom"
176,Denny,Clare,,,,,1872-09-14,1872-09-16,1853,1,,Brooklyn,NY,USA
177,John,Barrett,,,,,1872-09-18,1872-10-31,,,,Brooklyn,NY,USA
178,,Higby,,,,,1872-09-18,1872-09-18,,,,,,
179,Charlie,Lowe,,,,,1872-09-24,1872-10-31,,,,Baltimore,MD,USA
180,Bill,French,,,,,1873-04-14,1873-06-30,1849,,,Baltimore,MD,USA
181,Bill,Smith,,,,,1873-04-14,1873-07-11,,,,Baltimore,MD,USA
182,Frederick,Ehlen,,,,,1873-04-14,1873-04-14,1851,9,12,Baltimore,MD,USA
183,Joe,Kernan,,,,,1873-04-14,1873-04-15,,,,Baltimore,MD,USA
184,John,Donnelly,,,132,66,1873-04-14,1874-10-30,1850,11,15,Philadelphia,PA,USA
185,John,Smith,,,,,1873-04-14,1875-05-21,,,,Baltimore,MD,USA
186,Lou,Say,R,R,145,67,1873-04-14,1884-10-19,1854,2,4,Baltimore,MD,USA
187,,McDoolan,,,,,1873-04-14,1873-04-14,,,,,,
188,Red,Woodhead,,,160,66,1873-04-15,1879-09-10,1851,7,9,Chelsea,MA,USA
189,Jim,Devlin,R,R,175,71,1873-04-21,1877-10-06,1849,6,6,Philadelphia,PA,USA
190,Jack,Manning,R,R,158,68,1873-04-23,1886-10-14,1853,12,20,Braintree,MA,USA
191,Ben,Laughlin,,,,,1873-04-28,1873-08-07,,,,,,
192,Favel,Wordsworth,,,,,1873-04-28,1873-08-07,1850,4,,"New York",NY,USA
193,Henry,Austin,,,,,1873-04-28,1873-08-07,1844,10,,,NY,USA
194,Hugh,Campbell,,,,,1873-04-28,1873-07-23,1846,,,,,Ireland
195,John,Farrow,L,R,,,1873-04-28,1884-06-14,1853,11,8,Verplanck,NY,USA
196,Michael,Campbell,,,,,1873-04-28,1873-07-23,1850,8,1,,,Ireland
197,Al,Nevin,,,,,1873-05-06,1873-07-23,1850,10,3,"Allegheny City",PA,USA
198,Ed,Stratton,,,,,1873-05-14,1873-07-11,1854,,,Baltimore,MD,USA
199,Levin,Jones,,,,,1873-05-14,1874-10-14,1847,7,4,Baltimore,MD,USA
200,Marty,Simpson,,,,,1873-05-14,1873-07-11,,,,Baltimore,MD,USA
201,Tommy,Johns,,,170,71,1873-05-14,1873-05-14,1851,9,7,Baltimore,MD,USA
202,Fred,Crane,,,135,69,1873-05-26,1875-06-23,1840,11,4,Saybrook,CT,USA
203,Pop,Snyder,R,R,184,71,1873-06-16,1891-07-04,1854,10,6,Washington,DC,USA
204,John,Sheppard,,,,,1873-06-27,1873-07-11,,,,Baltimore,MD,USA
205,Mike,Hooper,,,165,66,1873-06-27,1873-07-11,1850,2,7,Baltimore,MD,USA
206,George,Popplein,,,,,1873-07-11,1873-07-11,1840,8,,Baltimore,MD,USA
207,Henry,Kessler,R,R,144,70,1873-08-04,1877-06-16,1851,7,27,Brooklyn,NY,USA
208,Len,Lovett,R,R,170,72,1873-08-04,1875-05-19,1852,7,17,"Lancaster County",PA,USA
209,Johnny,Ryan,,,150,67,1873-08-19,1877-07-12,1853,10,,Philadelphia,PA,USA
210,John,Greason,,,,,1873-08-27,1873-09-06,1851,7,29,Washington,DC,USA
211,Joe,Gerhardt,R,R,160,72,1873-09-01,1891-04-29,1855,2,14,Washington,DC,USA
212,Howard,Wall,,,,,1873-09-13,1873-09-13,1854,12,,Washington,DC,USA
213,Ed,Atkinson,,,,,1873-10-22,1873-10-23,1851,,,Baltimore,MD,USA
214,Jack,Chapman,,R,170,71,1874-05-05,1876-08-08,1843,5,8,Brooklyn,NY,USA
215,Tommy,Bond,R,R,160,67,1874-05-05,1884-08-11,1856,4,2,Granard,,Ireland
216,Billy,Barnie,,R,157,67,1874-05-07,1886-06-28,1853,1,26,"New York",NY,USA
217,Bobby,Clack,R,R,153,69,1874-05-13,1876-10-09,1850,6,13,,,"United Kingdom"
218,Jake,Knodell,,,148,67,1874-05-15,1878-08-17,1852,7,26,Brooklyn,NY,USA
219,Billy,West,,,,,1874-05-22,1876-09-09,1853,8,15,Williamsburg,NY,USA
220,John,Peters,R,R,180,67,1874-05-23,1884-06-11,1850,4,8,"New Orleans",LA,USA
221,Orator,Shafer,L,R,165,69,1874-05-23,1890-09-13,1851,10,4,Philadelphia,PA,USA
222,Dan,Collins,,,,,1874-06-08,1876-08-19,1853,9,27,"New Orleans",LA,USA
223,,McGovern,,,,,1874-06-15,1874-06-15,,,,,,
224,Terry,Connell,,,,,1874-06-20,1874-06-20,1855,6,17,Philadelphia,PA,USA
225,Steve,Brady,,,165,69,1874-07-23,1886-10-05,1851,7,14,Worcester,MA,USA
226,Robert,Brown,,,,,1874-07-29,1874-08-31,,,,,,
227,Mike,Ledwith,,,,,1874-08-19,1874-08-19,,,,Brooklyn,NY,USA
228,Hugh,Reid,,,,,1874-08-26,1874-08-26,1852,5,10,Cleveland,OH,USA
229,Frederick,Boardman,,,,,1874-08-29,1874-08-29,1851,2,18,"St. Joseph",MO,USA
230,Henry,Gilroy,,,,,1874-09-07,1875-09-03,1852,,,Smyrna,DE,USA
231,,Quinlan,,,,,1874-09-07,1874-09-07,,,,,,
232,John,Carl,,,,,1874-09-09,1874-09-09,1854,5,28,Baltimore,MD,USA
233,"Z. H.",Taylor,,,,,1874-09-10,1874-10-14,1850,2,21,Baltimore,MD,USA
234,Pat,McGee,,,,,1874-09-24,1875-09-17,,,,,,
235,,Wood,,,,,1874-09-30,1874-09-30,,,,,,
236,Charlie,Snow,,,,,1874-10-01,1874-10-01,1849,8,3,Lowell,MA,USA
237,Bill,Smiley,,,140,68,1874-10-13,1882-09-30,1856,,,Baltimore,MD,USA
238,Henry,Reville,,,,,1874-10-14,1874-10-14,,,,Baltimore,MD,USA
239,Billy,Geer,,R,160,66,1874-10-15,1885-05-10,,,,"New York",NY,USA
240,Fancy,"O'Neil",,,,,1874-10-23,1874-10-23,1853,,,Hudson,NY,USA
241,Tom,Miller,,,136,66,1874-10-24,1875-10-29,1850,3,,Philadelphia,PA,USA
242,Jack,Farrell,,,180,,1874-10-27,1882-05-03,1856,1,2,Hartford,CT,USA
243,Harry,Luff,,,175,71,1875-04-19,1884-07-05,1852,9,14,Philadelphia,PA,USA
244,John,McKelvey,R,R,175,67,1875-04-19,1875-10-28,1847,8,27,Rochester,NY,USA
245,Jumbo,Latham,R,R,164,68,1875-04-19,1884-10-11,1852,9,6,Utica,NY,USA
246,Sam,Wright,R,R,146,67,1875-04-19,1881-09-23,1848,11,25,"New York",NY,USA
247,Studs,Bancker,,,,,1875-04-19,1875-06-05,1853,,,Philadelphia,PA,USA
248,Tricky,Nichols,R,R,150,67,1875-04-19,1882-07-11,1850,7,26,Bridgeport,CT,USA
249,Ed,Somerville,R,R,158,67,1875-04-21,1876-10-05,1853,3,1,Philadelphia,PA,USA
250,Fred,Warner,,,155,67,1875-04-21,1884-09-11,1855,1,7,Philadelphia,PA,USA
251,George,Trenwith,,,,,1875-04-21,1875-10-28,1851,,,Philadelphia,PA,USA
252,Tim,McGinley,,,155,69,1875-04-21,1876-05-15,1854,,,Philadelphia,PA,USA
253,John,Richmond,,R,170,69,1875-04-22,1885-07-10,1855,3,5,Philadelphia,PA,USA
254,Al,Nichols,,,180,71,1875-04-24,1877-09-26,1852,2,14,Worcester,Worcestershire,"United Kingdom"
255,John,Cassidy,R,L,168,68,1875-04-24,1885-08-12,1855,,,Brooklyn,NY,USA
256,Bill,Crowley,R,R,159,67,1875-04-26,1885-10-10,1857,4,8,Philadelphia,PA,USA
257,Bill,Parks,R,R,150,68,1875-04-26,1876-04-22,1849,6,4,Easton,PA,USA
258,Charlie,Mason,R,R,175,,1875-04-26,1883-07-04,1853,6,25,"New Orleans",LA,USA
259,Frank,Thompson,,,135,65,1875-04-26,1875-09-11,1852,2,,,Madeira,Portugal
260,John,Abadie,R,R,192,72,1875-04-26,1875-06-10,1850,11,4,Philadelphia,PA,USA
261,Larry,Ressler,,,,,1875-04-26,1875-07-04,1848,8,10,,,France
262,Thomas,Gilmore,,,,,1875-04-26,1875-05-01,1853,5,,Philadelphia,PA,USA
263,Walter,Terry,,,,,1875-04-26,1875-05-05,1850,4,7,Middletown,PA,USA
264,John,Dailey,,,145,67,1875-04-29,1875-07-19,1853,10,26,Brooklyn,NY,USA
265,,Booth,,,,,1875-05-01,1875-05-01,,,,,,
266,Art,Croft,,,,,1875-05-04,1878-09-13,1855,1,23,"St. Louis",MO,USA
267,Bill,Hague,R,R,164,69,1875-05-04,1879-08-15,1852,,,Philadelphia,PA,USA
268,Billy,Redmond,L,L,,,1875-05-04,1878-09-14,1853,,,"St. Louis",MO,USA
269,Billy,Riley,R,R,160,70,1875-05-04,1879-09-30,1855,,,Cincinnati,OH,USA
270,Charley,Jones,R,R,202,71,1875-05-04,1888-04-26,1852,4,30,"Alamance County",NC,USA
271,Charlie,Hautz,R,,150,67,1875-05-04,1884-09-04,1852,2,5,"St. Louis",MO,USA
272,George,Bradley,R,R,175,70,1875-05-04,1888-08-08,1852,7,13,Reading,PA,USA
273,George,Keerl,R,R,145,67,1875-05-04,1875-06-14,1847,4,10,Baltimore,MD,USA
274,Joe,Blong,R,R,,,1875-05-04,1877-10-06,1853,9,17,"St. Louis",MO,USA
275,Mike,Golden,R,R,166,67,1875-05-04,1878-09-14,1851,9,11,Shirley,MA,USA
276,Packy,Dillon,,,,,1875-05-04,1875-05-08,1853,1,2,"St. Louis",MO,USA
277,Pidgey,Morgan,,R,,,1875-05-04,1878-06-22,1853,5,,,MO,USA
278,Robert,Stevens,,,,,1875-05-04,1875-05-04,1855,1,1,"San Francisco",CA,USA
279,Silver,Flint,R,R,180,72,1875-05-04,1889-07-18,1855,8,3,Philadelphia,PA,USA
280,Tom,Oran,,,,,1875-05-04,1875-07-04,1847,,,,CA,USA
281,Adam,Rocap,,,170,69,1875-05-05,1875-10-28,1854,,,Philadelphia,PA,USA
282,Trick,McSorley,R,R,151,67,1875-05-06,1886-05-06,1852,12,16,"St. Louis",MO,USA
283,John,Carbine,,,187,72,1875-05-08,1876-06-01,1855,10,12,Syracuse,NY,USA
284,John,Dillon,,,,,1875-05-08,1875-05-08,,,,"St. Louis",MO,USA
285,Joe,Ellick,,,162,70,1875-05-13,1884-10-11,1854,4,3,Cincinnati,OH,USA
286,Bill,Harbridge,L,L,162,,1875-05-15,1884-10-03,1855,3,29,Philadelphia,PA,USA
287,,Sullivan,,,,,1875-05-15,1875-05-17,,,,Bristol,RI,USA
288,Jim,Keenan,R,R,186,70,1875-05-17,1891-10-03,1856,2,10,"New Haven",CT,USA
